days_alive,work_days,spec_days,rest_days,final_cash
18142,5970,6085,6087,-111628747.59981176
7712,2512,2370,2830,73523.45889401436
408,255,54,99,25917.035728748764
250,175,30,45,23735.23800912117
164,128,17,19,17102.291280252382
175,141,11,23,22680.755057393057
155,130,8,17,23670.28243149401
165,138,5,22,26600.992228613017
125,110,8,7,20383.092705253992
139,122,5,12,21309.40827931309
119,106,8,5,19976.748051177387
135,120,2,13,22014.561833115677
140,115,12,13,22932.461204297273
143,117,14,12,20527.40764483643
139,121,6,12,22931.325712106405
145,126,5,14,25355.7356617552
156,134,4,18,22051.156242971156
130,115,6,9,21091.045277049798
152,128,8,16,22240.688999651695
157,128,12,17,20637.065688970244
149,126,8,15,22028.96131321946
146,124,8,14,23026.444741402975
137,119,6,12,20314.14659927249
125,111,7,7,19982.015168532642
143,122,7,14,22330.874355684227
152,124,12,16,20229.55443968877
126,114,4,8,21197.452211727075
140,121,7,12,18585.333149364014
125,109,8,8,20297.241735450072
152,124,13,15,19519.693761342718
159,131,10,18,25998.014935348172
120,106,8,6,18779.59354957046
124,112,5,7,19084.13657343145
137,118,8,11,23629.482140185628
142,113,18,11,22138.890551407647
147,128,4,15,21427.02450053606
141,124,4,13,23430.08259259466
193,147,17,29,22698.495934499173
147,123,10,14,25156.31747008369
149,123,11,15,22036.776202583987
145,122,9,14,22129.548722931264
164,136,8,20,23071.62911571213
159,132,9,18,23166.91841432547
134,112,13,9,20705.743412382493
152,129,7,16,23054.413421375797
141,116,13,12,19921.166027212526
146,119,14,13,24353.088927533576
151,130,5,16,23355.60799534281
155,130,8,17,20027.732479370738
181,144,12,25,22296.640029779937
195,156,9,30,25658.51430891572
228,172,16,40,28448.19380920377
152,124,13,15,21957.782076207965
200,152,17,31,26879.562315243747
202,157,12,33,24861.855482299867
169,136,12,21,21466.314004824202
177,138,16,23,23701.77974302591
163,137,6,20,19730.126592687935
213,163,14,36,24066.18333772839
200,150,20,30,24522.760584047326
183,143,15,25,24919.30982128682
170,133,15,22,16633.17681635454
225,171,15,39,30233.49374082744
173,133,18,22,16935.345417295215
179,147,6,26,25611.927765920136
201,159,10,32,24039.50926857809
239,180,15,44,25129.502815105196
176,143,9,24,21869.280572304127
180,141,14,25,20606.357391270387
221,169,14,38,27114.250282539033
178,142,12,24,23314.074228210888
163,133,11,19,21849.583453821488
192,148,16,28,18670.106760139184
154,132,4,18,23054.6672030777
172,134,17,21,22577.725859941627
139,121,6,12,22938.49251455341
165,136,9,20,22365.731909462513
143,123,7,13,24849.941636197185
210,160,16,34,23537.87245348939
184,143,15,26,21292.046737526936
235,181,10,44,25106.819122446082
167,134,13,20,19346.424409499952
165,135,10,20,21563.964349334965
220,169,12,39,26082.58256875653
133,115,7,11,20399.15226095018
158,128,13,17,22361.475815131223
142,124,5,13,22729.64542751087
133,118,5,10,22101.31776377142
199,156,12,31,25951.71788168206
140,120,8,12,21420.721212996155
191,152,9,30,22796.645237092223
178,146,6,26,25517.977974580263
149,131,2,16,24353.83087768163
148,122,12,14,20029.030600422862
135,121,3,11,22615.66553286048
123,112,4,7,19776.90194169562
111,105,3,3,20976.81672693958
121,110,5,6,21293.596448082877
106,100,5,1,19050.345538545665
109,101,6,2,17257.479191825332
122,113,2,7,22499.428453559565
111,106,1,4,20066.737096859244
124,111,6,7,19480.15066094246
104,101,2,1,18857.120908641664
110,106,1,3,20061.987813203712
124,116,0,8,21796.26760402756
126,115,2,9,21496.920987979865
130,115,6,9,24728.829217952276
107,103,2,2,19055.290932643242
134,116,8,10,22212.802583815654
134,114,10,10,23027.428207856694
127,110,9,8,22102.943370316898
133,118,5,10,22120.559211311127
130,116,5,9,21915.738305278748
134,116,8,10,19798.70897733101
144,122,9,13,22140.815953872752
138,122,4,12,20819.007006400978
113,104,5,4,20671.286981229165
115,110,0,5,21177.617526072212
122,114,1,7,20894.41557304947
119,112,1,6,21889.31488353796
144,127,3,14,20815.735074437245
150,131,3,16,23650.26990654161
112,108,0,4,20972.874663834038
135,121,3,11,22620.00382515581
138,122,4,12,22023.193505183466
142,124,5,13,20318.17393525429
116,109,2,5,20883.064352370195
135,120,4,11,21810.523994984826
141,125,3,13,20606.09130389627
115,107,3,5,21180.348300145437
156,134,4,18,22056.935139992387
133,119,2,12,21917.291170307355
126,114,4,8,23617.15839549329
113,108,0,5,20975.435928359857
127,118,0,9,22004.257578870853
155,136,1,18,24362.67040426972
140,125,2,13,23736.0295344759
151,129,6,16,20134.307791620467
149,128,4,17,21436.852700298266
164,134,10,20,20243.63554717101
157,135,3,19,22854.043386026882
143,128,1,14,22336.158925974443
189,152,7,30,27852.811712777155
144,127,2,15,22729.92905901549
164,139,4,21,24976.510094695153
127,113,6,8,20900.738378606995
157,138,0,19,24068.16784490958
137,123,2,12,22317.280145755896
156,135,3,18,25282.279697643637
156,135,3,18,22861.195177971444
146,128,3,15,22144.27136554349
140,126,1,13,23331.947970648107
137,123,2,12,22327.299074871793
138,124,1,13,21920.090644024756
146,129,2,15,24149.450266022748
168,142,4,22,22879.051395619914
173,144,4,25,25518.232788001213
157,134,5,18,23756.03096893744
135,120,4,11,19409.53320328588
169,141,6,22,24978.000786066932
168,139,6,23,22368.985095356737
152,133,2,17,22141.553066947028
148,128,4,16,20225.279729342717
220,176,4,40,25196.1571428245
190,156,5,29,22419.511173993982
245,190,8,47,28671.988224312117
303,226,9,68,35398.73508698594
397,289,10,98,36415.89124948819
1400,923,41,436,105391.58699668015
4126,2618,116,1392,325734.70880804816
539,363,31,145,46512.32686853562
228,172,14,42,27407.840850248733
258,192,16,50,26903.843104555403
459,316,28,115,42365.283787587956
302,211,28,63,27678.33913274758
394,267,34,93,30496.417758728974
217,163,17,37,29227.464501976378
174,141,10,23,23402.595733108814
185,149,6,30,22186.83751830634
229,176,12,41,26842.48601600373
412,277,36,99,41138.76772710636
248,182,20,46,27851.60924061797
377,254,36,87,31384.250959396373
295,215,18,62,31520.113011669073
283,202,24,57,29573.94340985602
380,260,32,88,34820.80295653116
211,159,16,36,24659.67746782639
353,242,32,79,29353.685764734924
252,177,28,47,27756.29545017957
211,154,24,33,23344.874195095676
209,157,18,34,20639.818192848932
150,127,7,16,26471.352015460714
155,131,7,17,23263.833916569085
140,122,5,13,22527.076690381105
201,155,13,33,25140.9299048728
172,133,18,21,21797.874966391973
164,133,11,20,20647.92153221464
153,130,6,17,23857.486990384168
198,157,10,31,22654.01314354832
144,126,4,14,22439.969588481355
157,134,5,18,21361.399120080834
156,134,4,18,22056.08306947126
207,169,3,35,26372.172804236838
143,122,8,13,21646.960493726423
139,121,6,12,19299.91576190152
135,121,3,11,21404.603736574576
120,110,4,6,21995.608751120904
145,128,2,15,22832.695498267727
135,116,9,10,23924.29083121753
141,125,3,13,23036.68221930542
118,108,5,5,23499.667806874048
108,103,3,2,21970.725827864542
122,113,2,7,21285.161791781895
112,104,4,4,21368.70740528078
130,114,7,9,20283.182577105796
137,124,1,12,21913.594382766034
126,113,5,8,21592.128492802178
133,117,6,10,20094.239959534505
127,114,4,9,22408.801243030473
120,111,3,6,22795.829269827274
117,108,4,5,19374.563754154555
123,113,3,7,20596.52954700874
143,123,7,13,22428.846160729194
135,120,4,11,19399.682541604554
120,111,3,6,21590.94778186334
140,121,6,13,21730.011478647968
136,122,1,13,21716.59939119547
111,105,3,3,18563.346902985537
109,102,5,2,19256.27054246604
124,106,12,6,18390.485164281334
136,120,5,11,22318.785742867534
129,117,3,9,20991.53671707056
132,118,4,10,22822.519174451038
115,106,5,4,19672.951491307213
117,109,3,5,18973.733027978535
114,107,3,4,21182.469428852077
146,125,7,14,21438.224093744848
139,119,8,12,22533.10942975537
126,113,4,9,21093.857259674896
131,115,7,9,17984.09209647269
122,114,1,7,20887.643362548206
124,112,5,7,22701.332061227717
130,116,5,9,20695.366488603806
120,110,4,6,19581.362309310145
115,106,5,4,19677.214273827107
121,111,3,7,21587.761043244718
128,113,6,9,22100.674692234774
120,106,9,5,19278.537358671118
108,104,1,3,19863.79966620299
125,111,7,7,21197.319209852005
130,115,6,9,22316.682831855273
146,125,7,14,23845.6115865136
125,115,2,8,20288.544997506942
146,124,8,14,20610.634324579285
141,120,9,12,20715.9821154291
137,119,7,11,22019.93536230075
156,130,9,17,20548.295590759983
120,110,4,6,21989.70492348046
114,101,10,3,20461.476189092748
114,106,4,4,21590.391058713663
111,105,3,3,18560.71261424211
112,103,6,3,21069.56135394544
120,109,5,6,18767.801244291408
130,116,5,9,21908.289107121855
115,105,6,4,20077.998889652587
133,118,5,10,23321.435679462997
107,103,2,2,21468.575669839585
120,109,5,6,21188.718382716143
123,112,4,7,22190.646629714513
136,120,5,11,23523.568691986988
122,114,1,7,22095.41281603887
123,113,3,7,20587.611992030936
146,124,8,14,19410.085368160915
115,106,5,4,19675.310899186396
151,132,1,18,22740.035999403266
144,122,8,14,19196.9694664218
111,105,3,3,19765.749559389133
123,112,4,7,19779.61711184885
115,106,5,4,22081.190051715348
144,126,4,14,21223.83595007286
103,102,0,1,20357.21962767277
148,124,9,15,21124.181089774644
139,122,5,12,20102.76636049512
136,118,7,11,19500.53867607082
126,115,3,8,20800.679863576326
134,119,3,12,21207.22723568642
132,114,8,10,22016.587492717616
127,115,3,9,19582.35950245435
125,111,7,7,21197.938607498352
142,123,6,13,21929.763287020833
132,118,4,10,21608.662673397524
135,119,4,12,20497.25814857224
135,120,4,11,21822.039782656073
136,120,4,12,23014.6165234907
132,114,8,10,23222.828315640763
123,112,4,7,20991.16550983604
131,114,8,9,19585.10064830038
110,106,1,3,20063.396418506298
113,107,2,4,20679.064160831687
169,141,6,22,23792.164943741718
132,113,10,9,18092.460980972937
126,109,10,7,17667.29465549023
144,121,10,13,21309.130081947475
142,122,7,13,19921.411353712574
143,121,9,13,19602.470241547464
114,107,3,4,21180.44694785661
154,132,5,17,22345.14946882548
148,122,12,14,22429.586109455508
124,112,4,8,22201.18189522749
149,126,8,15,23254.42584339016
133,118,5,10,22116.58285088455
131,119,2,10,21906.725687743517
134,122,1,11,22918.067166929224
121,109,6,6,19274.47247565133
151,129,6,16,23753.74384396127
143,122,8,13,19216.60228358793
141,119,10,12,23538.376381470003
127,113,6,8,19677.37917209634
138,123,3,12,20411.47196100013
136,116,9,11,22730.099004232998
126,110,9,7,20896.288339828647
153,132,4,17,21835.047455382803
133,114,9,10,22507.109337282916
144,122,9,13,24556.288101832724
147,122,11,14,18285.292383578868
138,122,4,12,20810.435020965826
182,147,9,26,19875.095129115933
130,115,6,9,19895.99448765752
133,118,5,10,22118.36435662671
155,131,7,17,25672.0800364611
218,169,11,38,24357.18187914964
140,122,5,13,18900.169621862977
147,124,9,14,22335.14688449987
130,115,6,9,22307.70871562332
155,131,7,17,22050.229308633967
172,138,12,22,21670.198776232544
188,144,16,28,25532.575339138548
153,128,9,16,20330.578527071422
199,158,9,32,22225.2462520347
185,145,13,27,25334.940253103407
144,122,9,13,19728.17916290009
191,151,11,29,26152.31277312854
223,172,12,39,28826.78866766623
134,116,8,10,21017.874867393446
160,136,5,19,22759.11450851211
236,171,23,42,23391.643719859836
190,146,17,27,25048.549157079382
167,143,2,22,23186.093563782266
243,179,18,46,24155.452184383947
193,152,12,29,24322.75341110653
173,138,12,23,24090.27034480117
160,129,12,19,21938.41874995857
214,166,12,36,23335.054851216148
168,137,10,21,25392.415623204168
197,158,4,35,26953.168040163247
144,126,4,14,23637.841355920766
174,141,10,23,23395.89202912122
191,153,8,30,24827.829294952735
149,127,7,15,24054.953189795404
205,161,10,34,21823.36364570747
208,163,11,34,23746.598843135376
186,150,8,28,23294.343892540866
180,144,11,25,21794.15112479473
164,135,8,21,24167.53992180905
247,190,9,48,27970.477040290512
155,131,6,18,21549.403553194097
224,172,13,39,26920.88001615114
277,210,9,58,31284.176389560613
270,201,15,54,30930.00343790804
409,291,17,101,40199.223346973995
513,355,20,138,44801.094327591454
402,287,16,99,36854.268283993864
271,209,6,56,29633.39350785827
239,186,8,45,28246.513902200608
506,345,31,130,43355.32944411366
487,338,24,125,41459.59288010049
252,193,10,49,25154.703736128526
388,287,6,95,41466.51135942743
338,249,7,82,34318.772827357745
474,341,10,123,46820.14115158527
257,198,8,51,27056.930118812175
158,137,2,19,23759.626066336303
187,154,5,28,25832.78250745084
248,195,3,50,31513.103780385583
231,184,1,46,28130.10261425289
248,193,6,49,29183.271893120127
203,167,1,35,27576.01909724994
206,165,6,35,25058.03566257199
211,172,2,37,27404.983047837602
193,159,3,31,26547.018933172858
186,154,4,28,26533.661832623995
192,159,3,30,27765.256737990003
237,188,4,45,30078.208102366487
246,195,2,49,29775.82666299202
350,259,7,84,36610.786841250236
317,237,5,75,35691.77125005111
310,238,2,70,34274.70568753906
209,167,7,35,28196.900191223267
459,329,9,121,45080.697229711564
1288,866,31,391,104665.7477352862
